entry_date,exit_date,ticker,entry_price,exit_price,shares,pnl_pct,reason
2022-02-02,2022-03-04,ANET,31.40250015258789,29.637500762939453,345.8700406684323,-5.620569639589615,REBAL
2022-02-02,2022-03-04,STX,96.58373260498047,90.27547454833984,112.45355415375563,-6.531387725965078,REBAL
2022-02-02,2022-03-04,MU,82.62471771240234,80.08272552490234,131.45199530570636,-3.0765517364284265,REBAL
2022-04-04,2022-04-26,CLS,11.800000190734863,10.569999694824219,894.2070885663898,-10.423732847702983,STOP
2022-04-04,2022-04-26,PWR,130.57171630859375,116.35819244384766,80.8110984058911,-10.885606980269595,STOP
2022-04-04,2022-05-04,HPE,14.545857429504395,14.340860366821289,725.4054198439494,-1.409315770325752,REBAL
2022-04-04,2022-05-04,VST,21.79696273803711,24.216777801513672,484.0878035372591,11.101615819408769,REBAL
2022-04-04,2022-05-04,BWXT,51.623722076416016,50.1422004699707,204.39525456961036,-2.869846548941764,REBAL
2022-12-02,2022-12-15,VRT,14.709708213806152,13.204851150512695,706.9333531273514,-10.230366513191859,STOP
2022-12-02,2023-01-03,CEG,89.54296875,79.68780517578125,116.13176887337598,-11.006071958295163,STOP
2022-12-02,2023-01-04,PCG,15.43622875213623,15.653084754943848,673.6608739146751,1.4048509275790977,REBAL
2022-12-02,2023-01-04,SMCI,8.670000076293945,8.225000381469727,1199.3982998389965,-5.132637726739642,REBAL
2022-12-02,2023-01-04,FN,132.61000061035156,128.47000122070312,78.41628311024377,-3.121936030912942,REBAL
2023-02-03,2023-03-07,ASML,658.953857421875,591.8699951171875,15.337525276980244,-10.180358085640451,STOP
2023-02-03,2023-03-07,CLS,13.680000305175781,13.0,738.7954107535948,-4.9707623538466255,REBAL
2023-02-03,2023-03-07,KLAC,395.4134521484375,364.75299072265625,25.55988267383882,-7.754025883335746,REBAL
2023-02-03,2023-03-07,ORCL,86.14789581298828,84.93670654296875,117.31826238114432,-1.4059417918329744,REBAL
2023-03-07,2023-03-09,AI,26.139999389648438,22.700000762939453,381.2551351726024,-13.159903240362125,STOP
2023-03-07,2023-03-20,IOT,20.90999984741211,18.31999969482422,476.6144941864065,-12.386418801951535,STOP
2023-02-03,2023-03-22,NVDA,21.077756881713867,26.444589614868164,479.4970120060446,25.462067729846172,TAKE
2023-03-07,2023-04-05,META,183.07334899902344,209.8333282470703,54.43724635618766,14.617080746247572,REBAL
2023-03-07,2023-04-05,TSM,84.55855560302734,86.29022216796875,117.85926249141559,2.047890426453086,REBAL
